"id","song_id","artist_id"
"6925","6427","499"
"10","10","8"
"11","10","9"
"12","11","8"
"13","12","67"
"14","13","32"
"15","14","32"
"16","15","32"
"17","16","32"
"18","17","32"
"19","18","32"
"20","19","32"
"21","20","32"
"22","21","32"
"23","22","32"
"24","23","32"
"25","24","32"
"26","25","61"
"27","26","61"
"28","27","61"
"29","28","61"
"30","29","61"
"31","30","61"
"32","31","61"
"33","32","61"
"34","33","61"
"35","34","61"
"36","35","61"
"37","36","61"
"38","37","61"
"39","38","61"
"40","39","61"
"41","40","61"
"42","41","61"
"43","42","61"
"44","43","61"
"45","44","61"
"46","45","61"
"47","46","61"
"48","47","61"
"49","48","61"
"50","49","61"
"51","50","61"
"52","51","61"
"53","52","61"
"54","53","61"
"55","54","61"
"56","55","61"
"57","56","61"
"58","57","61"
"59","58","21"
"60","59","21"
"61","60","21"
"62","61","21"
"63","62","21"
"64","63","21"
"65","64","21"
"66","65","21"
"67","66","21"
"68","67","21"
"69","68","21"
"70","69","21"
"71","70","21"
"72","71","21"
"73","72","21"
"74","73","21"
"75","74","21"
"76","75","21"
"77","76","21"
"78","77","21"
"79","78","37"
"80","79","37"
"81","80","37"
"83","82","37"
"84","83","37"
"85","84","37"
"86","85","37"
"87","86","37"
"88","87","37"
"89","88","37"
"90","89","25"
"91","90","25"
"92","91","25"
"93","92","25"
"94","93","25"
"95","94","25"
"96","95","25"
"97","96","25"
"98","97","22"
"99","98","22"
"100","99","22"
"101","100","22"
"102","101","22"
"103","102","22"
"104","103","22"
"105","104","22"
"106","105","22"
"107","106","22"
"108","107","22"
"109","108","22"
"110","109","69"
"111","110","69"
"112","111","69"
"113","112","69"
"114","113","69"
"115","114","69"
"116","115","69"
"117","116","69"
"118","117","69"
"119","118","69"
"120","119","69"
"121","120","98"
"122","121","98"
"123","122","98"
"124","123","98"
"125","124","98"
"126","125","98"
"127","126","98"
"128","127","98"
"129","128","98"
"130","129","98"
"131","130","98"
"132","131","98"
"133","132","98"
"134","133","98"
"135","134","98"
"136","135","79"
"137","136","79"
"138","137","79"
"139","138","79"
"140","139","79"
"141","140","79"
"142","141","79"
"143","142","79"
"144","143","79"
"145","144","79"
"146","145","79"
"147","146","57"
"148","147","57"
"149","148","57"
"150","149","57"
"151","150","57"
"152","151","57"
"153","152","57"
"154","153","57"
"155","154","57"
"156","155","57"
"157","156","57"
"158","157","57"
"159","158","57"
"160","159","57"
"161","160","57"
"162","158","36"
"163","161","73"
"164","87","99"
"165","160","100"
"167","80","101"
"168","126","85"
"169","126","102"
"170","151","49"
"171","147","80"
"172","133","103"
"173","162","72"
"174","163","72"
"175","164","72"
"176","165","72"
"177","166","72"
"178","167","72"
"179","168","72"
"180","169","72"
"181","170","72"
"182","171","72"
"183","172","72"
"184","173","72"
"185","174","72"
"186","175","72"
"187","176","72"
"188","177","28"
"189","178","28"
"190","179","28"
"191","180","28"
"192","181","28"
"193","182","28"
"194","183","28"
"195","184","28"
"196","185","28"
"197","186","28"
"198","187","28"
"199","188","28"
"200","189","31"
"201","190","31"
"202","191","31"
"203","192","31"
"204","193","31"
"205","194","31"
"206","195","31"
"207","196","31"
"208","197","31"
"209","198","31"
"210","199","54"
"211","200","54"
"212","201","54"
"213","202","54"
"214","203","54"
"215","204","54"
"216","205","54"
"217","206","54"
"218","207","54"
"219","208","54"
"220","209","54"
"221","210","104"
"222","211","104"
"223","212","104"
"224","213","104"
"225","214","104"
"226","215","104"
"227","216","104"
"228","217","104"
"229","218","104"
"230","219","104"
"231","220","104"
"232","221","104"
"233","221","105"
"234","222","104"
"235","222","105"
"236","223","104"
"237","224","104"
"238","225","104"
"239","225","106"
"240","226","104"
"241","226","107"
"242","227","104"
"243","227","108"
"244","228","74"
"245","229","74"
"246","230","74"
"247","231","74"
"248","232","74"
"249","233","74"
"250","234","74"
"251","234","85"
"252","235","74"
"253","236","74"
"254","237","74"
"255","238","74"
"256","239","111"
"257","240","111"
"258","241","111"
"259","242","111"
"260","243","111"
"261","244","109"
"262","244","111"
"263","245","111"
"264","246","111"
"265","247","74"
"266","247","111"
"267","248","111"
"268","249","111"
"269","250","110"
"270","250","111"
"271","251","111"
"272","252","112"
"273","252","111"
"274","253","111"
"275","254","111"
"276","255","111"
"277","256","111"
"278","257","111"
"279","258","113"
"280","259","113"
"281","260","113"
"282","261","113"
"283","262","113"
"284","263","113"
"285","264","113"
"286","265","113"
"287","266","113"
"288","267","113"
"289","268","113"
"290","269","113"
"291","270","113"
"292","271","113"
"293","272","113"
"294","273","114"
"295","274","114"
"296","275","114"
"297","276","114"
"298","277","114"
"299","278","114"
"300","279","114"
"301","280","114"
"302","281","114"
"303","282","114"
"304","282","115"
"305","283","114"
"306","284","114"
"307","285","116"
"308","286","116"
"309","287","116"
"310","288","116"
"311","289","116"
"312","290","117"
"313","291","117"
"314","292","117"
"315","293","117"
"316","294","117"
"317","295","117"
"318","296","118"
"319","297","118"
"320","298","118"
"321","299","118"
"322","300","118"
"323","301","118"
"324","302","118"
"325","303","118"
"326","304","118"
"327","305","118"
"328","306","118"
"329","307","118"
"330","308","119"
"331","309","119"
"332","310","119"
"333","311","119"
"334","312","119"
"335","313","119"
"336","314","119"
"337","315","119"
"338","316","119"
"339","317","119"
"340","318","119"
"341","319","119"
"342","320","119"
"343","321","120"
"344","322","120"
"345","323","120"
"346","324","120"
"347","325","120"
"348","326","120"
"349","327","120"
"350","328","120"
"351","329","120"
"352","330","120"
"353","331","120"
"354","332","120"
"355","333","120"
"356","334","120"
"357","335","120"
"358","336","120"
"359","337","120"
"360","338","120"
"361","339","120"
"362","340","120"
"363","341","120"
"364","342","120"
"365","342","57"
"366","343","120"
"367","344","120"
"368","345","120"
"369","346","121"
"370","347","121"
"371","348","121"
"372","349","121"
"373","350","121"
"374","351","121"
"375","352","121"
"376","353","121"
"377","354","121"
"378","355","121"
"379","356","121"
"380","357","121"
"381","358","121"
"382","359","121"
"383","360","121"
"384","361","121"
"385","362","122"
"386","363","122"
"387","364","122"
"388","365","122"
"389","366","122"
"390","367","122"
"391","368","122"
"392","369","122"
"393","370","122"
"394","371","122"
"395","372","122"
"396","373","122"
"397","374","122"
"399","376","124"
"400","377","124"
"401","378","124"
"402","379","124"
"403","380","124"
"404","381","124"
"405","382","124"
